Name,Play
Jack Burke,pinch hit for A. Kirby.
Jack Burke,flied out to 3b.
Jack Burke,to dh.
Jack Pistner,to 3b for P. Toothman.
Jack Pistner,reached on an error by c.
Jack Pistner,pinch hit for A. Donlan.
Jack Pistner,struck out swinging.
Jack Pistner,to 2b.
Jack Pistner,pinch hit for A. Donlan.
Jack Pistner,"tripled to left field, RBI; M. Muir scored."
Jack Pistner,to 2b.
Jack Pistner,struck out looking.
Connor Stewart,to p for T. Fay.
Tyler Lizell,to p for P. Clementi.
Connor Stewart,to p for Spadaccini.
Tyler Lizell,to p for Giammarino.
Tyler Lizell,to p for T. Torrado.
Jack Pistner,singled to left field; J. McCloskey advanced to second.
Jack Pistner,grounded out to 1b unassisted.
Jack Pistner,"out at first p to 2b, SAC; J. McCloskey advanced to second; S. Manieri advanced to third."
Jack Pistner,reached on a fielder's choice; J. McCloskey out at second ss unassisted; M. Seibert advanced to third.
Jack Pistner,out at first 2b to p.
Jack Pistner,doubled.
Jack Pistner,lined out to p.
Connor Stewart,to p for A. Weinbrum.
Jack Pistner,struck out swinging.
Jack Pistner,grounded out to 1b unassisted.
Jack Pistner,"singled through the left side, 2 RBI; M. Peipher scored; S. Manieri scored."
Jack Pistner,flied out to rf.
Jack Pistner,tripled to center field.
Jack Pistner,singled to first base.
Jack Pistner,stole second.
Jack Pistner,struck out swinging.
Tyler Lizell,to p for T. Torrado.
Jack Pistner,walked; A. Decker advanced to second; T. Neels advanced to third.
Bruno Spadafora,to p for T. Lizell.
Jack Pistner,"grounded out to 2b, RBI; T. Neels scored."
Jack Pistner,"grounded out to 2b, RBI; A. Decker scored."
Jack Pistner,flied out to lf.
Jack Pistner,singled to center field.
Tyler Lizell,to p for Spadaccini.
Jack Pistner,singled to center field; A. Decker advanced to third.
Jack Pistner,doubled to left field.
Jack Pistner,struck out looking.
Jack Pistner,"singled through the right side, RBI; T. Neels advanced to second; M. Muir scored."
Jack Pistner,struck out looking.
Jack Pistner,singled to left field.
Jack Pistner,"singled to left field, RBI; T. Neels scored."
Jack Pistner,"singled through the left side, RBI; A. Decker advanced to second; T. Neels scored, unearned."
Jack Pistner,flied out to lf.
Jack Pistner,singled up the middle; A. Decker advanced to second; T. Neels advanced to third.
Jack Burke,to cf for K. Miller.
Jack Burke,"doubled to left center, RBI; M. Peipher advanced to third; A. Kirby scored."
Jack Burke,"reached on an error by 3b; M. Peipher advanced to second; P. Toothman advanced to third; A. Kirby scored, unearned."
Connor Stewart,to p for A. Weinbrum.
Matt Nichols,pinch hit for J. Burke.
Matt Nichols,walked.
Matt Nichols,to cf.
Jack Pistner,grounded out to 2b.
Jack Pistner,walked.
Jack Pistner,"out at first p to ss to 1b, picked off."
Jack Pistner,singled to center field; M. Muir advanced to third.
Jack Pistner,"out at first c to ss to 1b, caught stealing."
Tyler Lizell,to p for B. Leighton.
Jack Pistner,grounded out to p.
Jack Pistner,grounded out to 2b.
Jack Pistner,singled to second base; A. Decker advanced to second.
Jack Pistner,singled to left field.
Jack Pistner,grounded out to 2b.
Jack Pistner,reached on a dropped fly by lf.
Jack Pistner,struck out looking.
Jack Pistner,struck out swinging.
Connor Stewart,to p for N. Masterale.
Jack Pistner,reached on a fielder's choice; A. Decker out at second ss to 2b.
Jack Pistner,lined out to 3b.
Tyler Lizell,to p for A. Weinbrum.
Jack Pistner,singled to left field; A. Decker advanced to second.
Jack Pistner,"out at first 1b to 2b, SAC; A. Decker advanced to second."
Jack Pistner,struck out looking (0-2 KSK).
Jack Pistner,"flied out to lf, SF, RBI (0-0); M. Muir scored, unearned."
Jack Pistner,reached on a fielder's choice to shortstop (1-1 BF); A. Decker out at second ss to 2b.
Jack Pistner,stole second.
Jack Pistner,walked (3-0 BBBB).
Jack Pistner,"singled through the right side, 2 RBI (1-0 B); A. Decker advanced to third; M. Muir scored, unearned; K. Miller scored."
